"Team Number","What kind of drivetrain do you have?","What kind of coral intake do you have? (if any)","What coral levels can you score?","What can you do with algae?","What kind of climb can your robot do?","Can you give a description of your autos?","What is your favorite part of your team's robot?","What are common failure points on your robot OR the most recent thing that has been fixed?","How much does your robot weigh?","How much drive practice do your drivers have (hours)?","Describe your robot/strategy in a few words","Notes/Comments","Take a picture",""
4915,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","ANY BRANCH ANY LOCATION","Wiring (limelight’s)","Funnel",114.7,"","L4,3,2,1","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F86YAbMqNDZ42bJZiHG3uqB.Take%20a%20picture.214152.jpg&appVersion=1.100278&signature=2296067479842a9086a1124c80f7a98462a2d068fed997f9298be5bbe3af6433",""
4513,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep",2,"Simple","Consistent autos",114.5,"","Cycle coral","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2Fmfsfz2TF9At1pvbE27qMI9.Take%20a%20picture.214456.jpg&appVersion=1.100278&signature=3a9a5e22d51f539cade41309bdc23db6697bb4a8fa1764808afcaff1143615c5",""
9442,"Swerve","Ground","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Net","",3,"","Algae is iffy sometimes, tippy",115,50,"Coral","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F0xohKb5WXSH3FVHRRPscMr.Take%20a%20picture.214748.jpg&appVersion=1.100278&signature=46ba5f3671926c81d9332bb6d06b8f4ff5bc221e3827793d71f21f72e5a8815f",""
4043,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep","Left right side 2.5 middle 1 peice","The cow plush","Auto align during left side is iffy",114.9,"","Flex, coral, de alg, all l4,l3, just one side","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F8hww1EY3VV8gen1gFBTpvs.Take%20a%20picture.182747.jpg&appVersion=1.100278&signature=ce521958d953bef93497053d5537b6c213876e79e723a682046e42bd8a7b207c",""
2910,"Swerve","Ground","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep",4,"Climber","Throw algae during auto",111,"","Score","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FjaBUjJilIJwKWoACozo2Fa.Take%20a%20picture.182232.jpg&appVersion=1.100278&signature=3948ad0a5809e9d67644b1bb554e8b67b823c723f26b3b50c37f4fc67df99293",""
3574,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","L4","Climb","Wiring",105,20,"L4, remove algea","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F5HeCOH6he6gLCJRXCQPDy2.Take%20a%20picture.171350.jpg&appVersion=1.100278&signature=c153c462790bb9f9ae7e5161c4a998209dd2b3eebc7799d21f915dd910f2aa56",""
3663,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep",2,"Arm","",106.1,"","Depends","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F7r2PxCDETeph0Xh6HtUUyK.Take%20a%20picture.171056.jpg&appVersion=1.100278&signature=cd7e8590cdacdc5a517eee451684abf0aa2e56cbc5e78d5502b005f0d520ca80",""
10416,"Swerve","Ground","L4 , L3 , L2","De-algae l2 , De-algae l3","",3,"Ground intake!","Coral getting stuck in ground intake (fixed)",110,30,"Mainly offensive! Cycling coral, playing defense if needed!","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FFc9HTFmLYkhnI2MrprzzNp.Take%20a%20picture.151408.jpg&appVersion=1.100278&signature=e97b99f2a31135f173ff4b7d82900d5a5dfab94d1f3d267d7ce53e8c303d1bd1",""
1778,"Swerve","Ground","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","",3.5,"Intake,","Arm chain, arm, fixed now",115,100,"Coral to, l4 first, algae, then l3",5,"https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FbVnuMBgt5zuImByGiEDMUf.Take%20a%20picture.151501.jpg&appVersion=1.100278&signature=6853b0643d48e15fc69ae589faa65073bfe739b09e071541ee30897e3df96eec",""
2046,"Swerve","Ground","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep",4,"Climb, arm","Code","",25,"Depends, coral and climb, 5l4 5l3","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FxoSy752fPaM65hkYkHMXTo.Take%20a%20picture.151826.jpg&appVersion=1.100278&signature=3c4290b0f7f11d5daf66042b9959de4cbabe79126aa6e2e63cd521e1131eecb5",""
2147,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3 , Score in Processor","Deep","Center, l4, 2 alg in barge","Climb","None recently",115,15,"Anything, coral mostly","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2Fe4Cbj9oPSXtLjZgpDK9yRK.Take%20a%20picture.152120.jpg&appVersion=1.100278&signature=05ab979fe469c998eef2c902c338581d458fbd3490f0827075f7acaf2ab26890",""
2412,"Swerve","Ground , Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep",2,"Funnel","No",114,20,"Coral, algae sometimes","Ground intake is iffy","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FHXzn680OMsPcoOzb8Ka8cn.Take%20a%20picture.152422.jpg&appVersion=1.100278&signature=1c5766a3d056055a8e5a778f57504284b5cca54ffac3d023036139e052b78a00",""
